GENE_ID	A498	A549	ACHN	BT549	CAKI1	COLO205	DU145	EKVX	HCT116	HCT15	HL60	HOP62	HOP92	HS578T	HT29	IGROV1	K562	KM12	LOXIMVI	MCF7	MDAMB435	NCIH226	NCIH322T	NCIH460	NCIH522	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	SF268	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SR	SW620	T47D	TK10	UACC257	X786O
ENSG00000106245	2047800	886570	1870500	585410	607870	9575800	2349700	129330	811780	595260	3891300	406800	4283600	65101	724490	40274	208730	2354100	878400	315620	1789500	546530	1223600	5429100	1140100	3754400	878500	1872500	2730600	3738200	3157300	597590	74671	53669	1294100	507020	683840	945690	1104500	2283200	201180	35470
ENSG00000106261	0	0	8264.6	0	21643	390680	199910	1742.9	0	0	0	0	129200	0	0	3391	0	0	19525	81965	0	20904	0	122840	0	0	81268	0	446420	78919	0	23360	0	0	0	0	13336	0	0	113570	0	4824.7
ENSG00000106263	11780000	3718200	5475200	5276400	4336800	38617000	10266000	731130	92937	2728400	20922000	262700	12081000	4590300	9194900	1646100	12581000	6976800	4401700	15982000	5754100	6917700	303870	14500000	3475700	14445000	7969800	10289000	10394000	17754000	11998000	5118900	998030	602100	26065000	2603200	8323500	3911100	8457900	3128100	22747000	2121200
ENSG00000106266	818510	66347	439220	541780	634530	943440	684050	110390	25432	34149	140080	41810	1093200	161070	609090	275030	191240	66049	292840	3844500	249410	1352400	106800	487930	199830	180810	1025900	481600	86226	333720	369980	702180	78604	461390	9099500	175900	607370	757420	590200	41618	3652800	558820
ENSG00000106268	2623300	930640	1697000	888910	505880	30868000	3306100	251210	8937000	370950	7331400	429780	3009500	144260	2273700	71294	1250800	1171600	840240	2498600	615210	1138200	1042000	1906800	981110	1141600	2154400	3540200	984370	4562900	4332000	1513200	194020	150690	1623900	338200	586690	679070	1953700	1174800	906460	12196
ENSG00000106278	149620	21788	6068.5	0	0	1682.8	0	0	600.13	184.63	0	1476	33952	0	15786	0	0	265.28	0	25248	8530.4	34248	0	5887.9	8339.8	115500	6160.6	0	1383.6	21922	0	11862	0	0	112990	19806	19149	35825	25799	0	35522	22798
ENSG00000106290	12743	0	9916	0	2496.8	271500	5195.9	3542.4	0	2649.1	0	6076.6	42356	0	31486	10017	0	21536	0	88366	0	42429	6897	51798	44709	50018	0	0	59955	0	5219.3	5914.6	12712	4252.7	46347	59233	15343	144720	12531	2314.9	24497	52544
ENSG00000106299	675570	890420	245430	442220	907180	461010	781030	24030	23681	93680	704090	14323	518380	86302	395660	365470	177520	58836	143710	369530	1158800	245060	74916	606110	169410	514170	147160	183280	570450	737820	588370	409490	57355	55939	3533200	102780	1449700	173760	858160	460600	5067900	81156
ENSG00000106305	2829200	317020	1370000	863110	1060700	11311000	690520	200100	34727	119870	3377700	164230	2020900	96023	776303	427500	36016	847570	499360	2508533	473140	2014300	1113400	1671500	604440	2339100	2626100	2030000	1050900	2304400	4569900	1515000	764320	279020	1772600	503003	1000400	1395900	1083900	440120	1370200	23087
ENSG00000106330	14636	0	0	0	0	0	0	0	0	0	0	0	73252	0	0	0	474850	0	0	0	0	0	0	0	0	0	0	0	0	60217	0	0	0	0	0	0	0	54948	0	0	0	0
