Prot_id	Gene_id	X786O	A498	A549	ACHN	BT549	Caki1	CCRFCEM	COLO205	DU145	EKVX	NCIH226	NCIH23	NCIH322T	NCIH460	NCIH522	HCC2998	HCT116	HCT15	HL60	HOP62	HOP92	Hs578T	HT29	IGROV1	K562	KM12	LOXIMVI	M14	MALME3M	MCF7	MCF71	MDAMB231	MDAMB435	MOLT4	OVCAR3	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	RXF393	SF268	SF295	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SN12C	SNB19	SNB75	SR	SW620	T47D	TK10	U251MG	UACC257	UACC62	UO31
O75368	ENSG00000131171	12301	8889800	3486800	1063600	2506400	382310	55078000	45067000	7136900	1580900	517840	862800	1474800	3531900	4628600	2034600	544130	99292	21403000	1523800	8688500	1497100	1480100	51848	5282800	1636500	3755800	26619000	2788100	2670400	362000	3709900	3556900	234420	59049	4345300	128450	6500800	4130400	1717900	1485100	11122000	2576900	3670800	567840	411850	3693800	5479400	366580	2725800	3205400	12773000	2551600	2850500	1747800	1642800	3182700	35036000	1886500
P14902	ENSG00000131203	51291	44134	23795	0	102290	0	72771	953650	83288	0	98190	0	15598	99390	218630	33538	6014.4	41656	297430	0	23281	175950	7902	53076	27427	0	0	142320	0	186140	34807	74496	35219	95571	3592	347670	14164	75064	19262	0	92978	8815.9	0	64883	0	0	60025	299520	41557	234460	0	33701	0	8419.7	13447	75249	321200	215230	21292
Q01518 Q01518-2	ENSG00000131236	17776000	22546098	5190600	5285500	18158000	17499748	36627227	216410000	18899047	2558815.7	10123000	9577177	2962955.6	5263600	5819600	7939900	763270	2689500	67135430	994136	16966000	13114000	10277860	6593100	15726000	3477900	14983563	40456000	5015236	16686529	3554500	33512710	15046278	4966988.5	1424500	17031006	12587000	18352000	5209000	15754000	57427000	34596000	7198100	9557700	1148800	3813262	25977281	5624000	6742700	27891000	14208000	36729898	9312500	8509297	25884000	18492000	47751000	29797030	5032900
P50897;E9PMG2;E9PIA8;P50897-2;Q5T0S4	ENSG00000131238	48011	3718000	771790	4449800	1252800	14123000	11794000	40049000	5274300	1376500	13587000	3187200	8923000	8207400	13265000	2152000	196750	642890	3308300	846110	4723600	1177400	6277700	5700200	2259900	2759200	3442500	34031000	8499600	9991600	12932000	4008800	1364300	389170	4563300	6290100	10821000	7339000	6798400	1601400	5738900	8733700	6369900	25743000	2545700	1931700	8157000	2692800	5619200	12742000	10315000	14426000	6423100	9399200	5044700	10663000	14472000	23187000	3560400
O75027;O75027-2;B4DGL8;A0A087WW65;O75027-3	ENSG00000131269	67932	369250	418660	167420	292770	255850	866070	5022600	544850	41292	1130200	200420	24082	1303900	857850	1151400	129720	87404	661340	51287	2634200	155340	665370	87650	599460	200500	197020	1459000	334730	1375000	120950	426450	237010	397340	341500	2431000	155910	524050	786480	974310	389650	607950	174450	770190	80022	157460	732420	313220	1073400	1237300	189380	623350	1754100	99288	157120	983750	816530	2061500	98768
Q9BT25-2;Q9BT25-3;Q9BT25	ENSG00000131351	0	0	35639	0	0	0	15372	228050	590170	0	18143	24188	0	0	0	0	0	0	0	0	47733	0	13616	16923	0	0	0	280910	12211	85123	0	1126100	56783	0	0	35745	0	0	0	0	0	205380	28635	0	0	0	0	0	0	0	0	4415.9	0	0	0	49325	0	1306400	0
P82663;E7EPW2;P82663-2;P82663-3	ENSG00000131368	0	0	0	132140	0	59787	439450	1987800	160990	1796.3	287470	111060	65272	442170	132330	146530	42745	13634	371950	1888.4	539510	23897	249420	52267	75143	144550	96761	832360	195910	354190	182610	206120	486340	0	122320	316230	265550	332120	446690	0	295840	772400	0	96827	194530	8366.6	372980	184800	97170	347800	14445	90638	647410	168030	84272	322630	0	1056400	222660
Q9UJ83-2;Q9UJ83;Q9UJ83-4;Q9UJ83-3;C9J306	ENSG00000131373	13433	49574	136150	270880	0	321120	408290	1174100	179040	2804.6	1086400	165900	0	138620	29405	145120	25800	29188	239070	11971	429750	31911	104750	162000	87015	90631	18303	332930	130260	509260	309290	10020	43169	278690	34131	181110	234390	132320	191070	194490	77724	109960	258970	24942	44112	61474	1023300	215940	246130	544310	116390	15435	61150	42638	73308	11656	232550	520860	123020
Q92609;Q92609-2;C9J3F6	ENSG00000131374	18064	95155	69730	215510	245610	272140	1715300	1015400	670160	5255.4	92750	33061	26144	193480	47107	11638	0	24557	1080800	19350	165080	43538	124350	339240	221500	206610	102290	1468600	56358	72362	623950	865220	486770	322830	69633	105260	564250	667540	473030	463090	164950	179910	65781	914680	32885	11963	664600	93049	554870	182860	123800	646920	58681	329550	163150	114690	1898800	1057800	146850
Q9Y6W3	ENSG00000131375	0	19295	75925	8652.8	61490	57150	310760	368260	51253	8753.5	24090	35505	6875.7	0	0	10372	11361	12276	83567	2214.9	104070	15103	2560.9	6802.1	188830	8099.7	11179	68245	12163	12790	46061	32870	18812	64741	2698.9	58611	0	113540	35785	78433	15831	36245	21362	54751	12463	1453.6	13265	40902	9125.6	159020	6998.6	22252	215180	35968	9351.8	11776	167840	187640	49228
Q14699;G3XAJ6;C9JHG2	ENSG00000131378	316540	703520	16460	282730	15693	618140	1205300	285980	330660	0	2907700	166970	141950	67204	117670	194380	49307	38467	0	26825	896190	1052200	47857	66845	0	13019	392070	835690	129170	1788300	221030	439960	82521	153290	3811.6	214810	311930	716210	520330	80276	2546200	930390	375790	388850	16517	5861.7	97673	200000	2187	50228	399710	548000	49229	64621	85122	270350	614080	374670	407570
Q9H1K0	ENSG00000131381	7252.9	0	0	0	0	23424	0	0	0	0	0	0	0	0	0	0	0	7570.2	57637	0	0	0	0	10400	0	0	0	0	0	0	0	0	0	0	0	0	23067	4004.4	13071	36383	0	0	13997	0	0	0	0	0	0	0	0	32821	0	0	0	0	0	0	0
A0A087WY96;P31641;A0A087WYN0	ENSG00000131389	62052	560050	286170	174160	102590	70761	220850	3518100	454830	0	1102900	20040	0	1083800	0	322590	0	0	70419	0	162330	156570	132300	16130	420110	34958	94812	51443	3542	92580	268380	0	0	36438	254.15	15071	236730	42313	24884	263640	39317	0	239350	58797	13441	0	0	0	21604	187020	498770	8411.9	0	25519	66709	286760	0	0	59382
P50479 P50479-2	ENSG00000131435	0	96658	104240	304080	75751	66019	474430	22081000	692310	2092.5	347310	105170	21605	210920	0	113910	19638	0	1074600	31157	3348400	362570	189850	112120	249210	74970	0	5032000	507200	927280	139320	146750	51713	0	184460	158480	497270	928840	128820	15582	211490	167360	2994600	1442600	81298	4180.7	51562	44695	92226	7626300	47621	230710	325830	71051	1408600	3394700	799400	4647500	0
J3KPF9;A0A087X011;E9PES4;Q9Y496	ENSG00000131437	286.42	160150	58979	17897	47204	88374	431420	5841600	92136	1438.7	90547	88177	6052.6	57252	60027	76464	57772	36600	11478	657.68	23727	22651	176040	45440	57695	53173	4013	822470	71785	266490	0	99983	10426	0	20813	66033	113880	84855	254540	154200	160900	72766	58992	5803.8	7727.4	1198.5	116380	0	23378	53849	0	3168	36744	52014	25132	75057	111550	272540	75168
P26572	ENSG00000131446	425320	967580	28053	224030	805820	402820	417080	4265100	726710	748880	3831900	493150	545080	800130	109450	527690	61317	149920	491130	179620	1865600	558020	680450	133260	172650	226560	361820	1178100	394660	1071600	665840	730430	190620	7497.2	64331	1741100	907480	538710	303780	141540	1576200	120310	344300	2104800	85441	1620300	258150	454440	148970	897730	411460	898210	313450	190590	111010	548200	2266000	1065100	279850
O94808	ENSG00000131459	18560	403110	15219	24827	139070	53101	194270	325070	240780	27382	526430	21239	11103	413680	42353	26057	18022	14263	39895	10565	133250	19446	194900	16878	117490	20506	26944	386800	62191	290710	12368	25197	46856	13754	0	81989	0	104030	9424.6	32590	767180	1501400	19471	47244	9523.8	0	98520	51343	218360	108770	93607	43394	39957	9323.9	34643	1019000	134020	566470	92957
P61289;P61289-2;K9J957;P61289-3;K7ESG5;A0A087WTV2;K7ENH2;B3KQ25	ENSG00000131467	728260	18958000	14074000	9842100	4615700	6841900	44801000	103210000	20312000	1698400	22068000	8324700	2033100	22500000	12827000	8948100	507620	2740400	14702000	3751600	17438000	3018900	15987000	7208200	17330000	5652300	15450000	35349000	7842500	17369000	20809000	15559000	13072000	1437400	3171800	15930000	15171000	21226000	8653700	17136000	8403000	18004000	17461000	3153200	2519600	1904000	16420000	7569400	8413300	21249000	5671800	16003000	21544000	12978000	10414000	10059000	11239000	39163000	10013000
P61353;K7ELC7;K7EQQ9	ENSG00000131469	0	154000	118100	1017200	0	232340	1173200	612720	220300	32139000	379430	503250	167940	247950	49043	155480	8249.9	66128	1353700	20137000	1631300	0	431210	0	83672	75257	47390	1002400	408700	593290	873420	321780	323540	195400	35114	3363200	452710	391510	199720	233500	433090	83631000	131000	50495	9259.4	8480700	129440	139890	314630	508630	20796	263370	660850	66249	155550	220250	404640	750340	161100
Q9P2W1;Q9P2W1-2;K7EQS1;K7ERB6	ENSG00000131470	0	14616	155210	110680	0	0	1664900	2939400	112630	0	0	47204	48211	577160	207380	0	1405.3	107300	157860	9986.9	463370	228420	176850	51652	154620	238580	30457	266980	111570	148430	315850	124140	91441	387920	0	0	198140	55380	155730	511830	387880	123340	154530	0	108320	832.4	141590	0	0	0	19072	10254	47166	244250	44021	46930	62219	449370	90841
P53396;P53396-2;P53396-3	ENSG00000131473	1984700	29764000	15820000	11469000	6368700	13009000	20259000	39771000	20779000	460790	9360400	6124000	223380	14496000	6638300	15642000	219980	3348800	35261000	547120	14418000	5667700	7711500	1585500	9022600	2927300	3651400	32180000	4225500	15557000	16108000	7310700	3557300	12260000	626580	17053000	4424000	9211400	5901300	18735000	22857000	15228000	17089000	4313000	1782400	692170	22203000	4196000	8486100	4777900	7024500	11019000	4651900	10108000	9151300	12341000	33990000	29494000	9413000
Q9BRG1;K7ENE3;K7EKV4	ENSG00000131475	110580	1055400	1056200	2108400	1123500	311570	8683400	40173000	2961500	141950	1455000	1791100	405970	2270100	1135200	1074600	526150	184690	4802600	195780	1613000	242040	2351500	189330	2240300	2032600	1579200	8453300	1332200	3961700	1888500	4634300	1678900	3605900	65978	1742100	1883900	7132300	1153300	279340	1353200	4164700	332370	166090	106260	22144	2091300	1518600	558240	231680	891860	3730500	5304300	2815400	945410	1953100	1350100	5428200	983380
O43678;O43678-2	ENSG00000131495	353740	4950000	1227300	779670	1842200	696410	7903100	2145700	3367700	127580	2164900	536590	638440	662200	1368700	534860	115610	214500	659810	38772	963110	549360	2934100	82547	1299000	816500	973980	5819300	838250	2953200	663660	1434600	923940	284300	170990	10106000	1575700	4128500	472290	561830	155140	1137700	1648800	223920	178860	82306	673490	1966500	172970	2260700	855360	2857100	1686500	1438200	798680	259320	1946900	5746100	635140
Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6;E9PDP5	ENSG00000131503	13527	17008	169960	15010	37802	43984	399010	257830	156230	1237.3	112380	27988	11113	248050	53650	55687	61572	42507	71439	304	232170	19414	57007	23458	87545	19846	6223	181470	50778	137470	308550	21809	20452	153550	3312.8	137910	115820	198070	24134	68790	42043	124640	27541	51955	16470	5032.7	93643	36297	32014	119050	5495.4	122870	151540	105440	23689	96804	406370	135650	32933
A0A0G2JH68;O60610;A0A140T8Z0;O60610-2;O60610-3;H9KV28	ENSG00000131504	234700	2033700	969590	843450	717680	594300	11560000	26300000	4720100	220170	2855900	526880	180350	1669800	995970	2073900	113400	981990	17257000	156760	1122300	550740	5847000	469170	6184700	799330	291570	9526600	251720	3422100	3719800	2273400	1609400	5474700	181230	8210500	3909400	1401800	2092400	3603900	3956300	6559900	1784500	294110	279020	135000	3723000	518810	1601500	669380	844930	1463000	2020200	1906900	883820	3030600	2347200	2102900	918820
Q9BT67	ENSG00000131507	0	75694	111330	0	37140	0	8981.8	0	0	16151	73358	22469	0	0	0	66352	8232.1	0	0	53571	0	0	51194	0	0	2852.4	69160	0	125000	112380	0	64809	0	25521	0	0	0	0	0	0	31435	0	0	0	0	69345	40281	0	153040	75943	43574	64652	35231	75792	7389.1	48186	0	137060	0
P62837;A0A0A0MQU3	ENSG00000131508	0	1801900	882310	201320	1542400	113310	5024000	16054000	3529900	0	906880	1284400	0	2017700	820140	99926	948720	26734	2848300	0	3259500	1247500	2601600	150730	1400900	859560	419590	5899100	272690	4164900	3065100	2568400	2781800	306790	146400	2512800	35511	4418700	1232400	2484000	242900	769180	1446100	1829400	0	0	1060600	1562300	186320	1942200	104580	1043800	5096800	900450	704640	57267	465520	1658200	405410
Q96A65	ENSG00000131558	162850	585890	384060	278950	305340	477370	1251100	4605500	676900	50827	401800	580390	40334	670160	235060	645430	77641	90556	405650	28234	860310	126480	629590	99862	417520	309260	50226	2357900	407060	1300600	1007000	353890	193250	480700	118110	629470	676630	744150	1402600	276440	1320100	1013800	586370	215680	62629	28682	1548500	287670	777020	793740	428420	443080	261390	398230	193550	678640	2040400	1351800	416760
Q96P50-1;Q96P50	ENSG00000131584	0	0	0	0	0	0	20220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5XXA6;Q5XXA6-2;E9PNA7	ENSG00000131620	1546.5	20445	1089.9	2149.7	505310	0	8000.5	741800	36414	0	33549	2459.5	0	12244	18626	29091	0	1474.9	0	153.21	37138	15238	122910	15670	25829	6796	0	267030	18700	117620	16209	7071.1	5488.4	0	0	96263	9166	11761	987.25	50645	170040	0	16040	554.34	0	0	2913.5	20701	28998	111970	20478	9900.7	130030	0	1132.8	34804	255020	23643	1409.4
Q13136-2;Q13136	ENSG00000131626	12325	78287	78487	70866	147730	188180	860290	1365800	339710	26390	273250	268200	368810	123660	60803	159210	20309	68211	176310	140030	217310	235200	243830	136940	200110	129780	25636	890690	160390	415470	310000	175020	106250	170280	29323	199650	136620	158330	158820	170760	402260	369580	64430	57891	49124	7464.8	1290500	117880	189090	277900	207150	204040	308020	119920	95780	247040	941440	308370	141300
Q86W42;Q86W42-3;Q86W42-2	ENSG00000131652	5972	21794	93956	399160	131920	243210	567330	601530	126980	5756.5	86539	66847	264860	419120	650220	120480	0	49646	258570	11835	613090	20952	108120	59859	113180	368590	12610	538750	152150	368960	633550	33534	36903	137300	41906	90624	261300	438780	33549	225150	330740	868260	89544	109880	236050	3076	160060	87530	83377	1290300	93666	110360	2377600	51290	79345	364820	1049600	0	111640
Q6Q0C0-2;Q6Q0C0	ENSG00000131653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q92982	ENSG00000131669	0	181740	0	0	0	45787	0	0	0	0	0	0	47226	163320	0	27183	0	0	0	0	262310	0	0	0	0	0	0	0	57627	0	412720	0	0	0	0	0	0	0	29932	171460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22806
P46821	ENSG00000131711	547250	6111600	3074200	1705100	939600	7393900	2733400	1863500	774580	44935	12427000	357990	123590	3403200	2156400	150180	100730	115240	1458100	238490	3365800	1714600	851290	163070	856520	245350	336560	856360	144260	1808100	340820	2339100	333980	194260	172850	925520	372930	5641300	2213300	462890	13718000	2862200	6345000	1141400	113560	116530	2591100	1326400	2325700	9426300	11625000	685970	673340	290560	228940	17997000	874840	957800	2209000
P78552	ENSG00000131724	0	0	0	0	0	0	0	0	0	82506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5JSH3-2;Q5JSH3;H7BY83;Q5JSH3-4	ENSG00000131725	0	168090	62752	437390	108450	69955	480100	1626900	332430	4996.9	137480	134290	33379	190240	46949	57348	169750	34426	94527	5915.7	442330	32158	96607	23118	521110	158150	68847	682710	46506	412040	740240	59688	38622	1381700	6418.1	81027	109810	485500	76589	533530	566010	2133600	290530	68887	11416	173.37	229150	82116	469780	167400	85668	83277	232980	159930	125460	306040	473960	140950	110340
Q8IZW8	ENSG00000131746	0	68329	25771	7439.4	174650	39948	21551	10772000	0	4248.3	161120	0	0	105780	93771	0	15679	7796.2	32649	0	44302	0	73046	0	3922.4	6577.1	0	75971	0	166160	36734	11289	10147	2641.6	0	22161	20864	96223	2953.8	132680	58963	0	48079	310390	26063	0	17698	9784.7	7644.6	18190	2453.9	6495.9	67898	22072	3697.6	19816	163850	53209	2350.5
P11388;P11388-2;P11388-3;P11388-4	ENSG00000131747	36164	0	119650	64836	4980	0	249800	508740	54019	21528	93505	16363	43251	72970	5590.6	14764	4877.9	37919	685850	14226	122230	442.35	6311.6	5501.4	19546	17334	2722.2	35991	13606	30388	104210	19375	0	62274	11480	109770	138490	61937	8060.8	225440	14746	16742	24572	42278	5564.4	0	5790.4	30857	18710	0	714.49	5095.6	66562	14865	8581.6	21486	49517	334290	2163.4
Q14849;Q14849-2;Q14849-3;J3QLM1	ENSG00000131748	5449.3	77794	33894	0	0	0	1344700	186090	0	0	0	25635	33571	70291	40833	0	22115	2531.3	149160	0	28447	0	25563	2172	0	0	65214	244600	28455	16439	18466	5573.5	28128	0	16419	52733	0	11429	22469	0	0	32363	14757	20394	6918.4	0	28918	335800	16337	48355	0	0	27082	19919	0	0	252930	478000	35133
J3KSJ4;A8MUP8;P10276-3;P10276-2;P10276	ENSG00000131759	0	0	0	0	0	0	0	234810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
